time,open,high,low,close,volume
12/04/17,114.40,114.90,113.65,114.20,231193
13/04/17,114.00,114.75,113.25,114.75,241911
18/04/17,114.75,115.85,113.25,113.25,338639
19/04/17,113.20,114.10,112.95,113.55,331667
20/04/17,113.65,117.00,113.40,116.60,330388
21/04/17,116.50,116.50,114.05,114.05,327038
24/04/17,118.00,119.75,116.45,118.15,406512
25/04/17,115.70,118.75,114.25,117.70,549868
26/04/17,117.70,119.00,116.60,119.00,352613
27/04/17,118.95,120.35,117.85,120.35,275120
28/04/17,120.65,120.90,119.80,120.30,314417
02/05/17,121.35,122.65,121.05,122.10,392124
03/05/17,122.55,122.60,120.05,120.75,213934
04/05/17,121.35,124.05,120.90,124.05,320740
05/05/17,124.80,126.90,123.60,126.75,455332
08/05/17,126.75,126.90,125.35,126.30,256551
09/05/17,126.35,126.65,125.15,125.50,333827
10/05/17,125.20,125.95,124.95,125.65,286401
11/05/17,126.00,126.55,125.20,126.25,306099
12/05/17,126.40,126.75,125.60,126.45,189898
15/05/17,126.95,127.30,125.25,126.25,200653
16/05/17,126.40,126.70,123.15,124.70,529935
17/05/17,124.30,124.40,121.90,122.20,310656
18/05/17,122.20,123.10,119.75,122.15,366184
19/05/17,122.20,123.85,122.15,123.20,260997
22/05/17,123.85,124.15,121.95,122.60,216275
23/05/17,122.80,123.80,122.65,123.70,243357
24/05/17,123.90,124.35,123.10,124.35,266705
25/05/17,124.80,125.05,123.70,124.10,151525
26/05/17,122.80,123.75,122.20,123.15,215444
29/05/17,123.15,124.10,122.90,123.25,81190
30/05/17,123.25,126.35,122.75,126.25,274749
31/05/17,126.30,128.15,125.20,127.70,804279
01/06/17,127.80,129.80,126.90,129.80,289952
02/06/17,130.00,131.10,129.70,130.60,257746
05/06/17,130.80,130.85,130.30,130.45,142080
06/06/17,130.35,130.55,129.15,130.25,216325
07/06/17,129.95,132.05,129.35,131.70,299769
08/06/17,131.55,132.50,131.15,131.15,312763
09/06/17,131.30,132.15,129.80,130.75,292892
12/06/17,129.00,129.00,124.65,124.80,450144
13/06/17,125.25,126.80,125.15,126.30,265400
14/06/17,127.30,128.50,126.95,126.95,345362
15/06/17,126.70,126.75,124.60,125.35,299032
16/06/17,125.75,126.80,125.45,126.15,442917
19/06/17,128.30,128.65,127.65,128.25,244377
20/06/17,128.90,130.10,128.10,128.30,244472
21/06/17,128.00,128.80,127.00,128.75,205989
22/06/17,129.05,129.05,127.55,127.75,250318
23/06/17,127.80,128.30,127.10,127.40,198428
26/06/17,128.05,128.55,127.55,128.00,176768
27/06/17,127.75,127.95,125.65,125.90,246415
28/06/17,125.00,125.85,123.80,125.80,290729
29/06/17,126.40,126.55,121.05,121.05,320150
30/06/17,121.45,123.60,120.35,122.90,398419
03/07/17,123.30,123.65,122.55,123.05,268771
04/07/17,122.80,123.20,121.90,122.20,234587
05/07/17,121.80,122.65,121.05,122.50,271971
06/07/17,122.60,122.85,120.75,121.80,233772
07/07/17,122.10,123.20,120.70,123.20,240011
10/07/17,123.45,124.30,123.00,123.75,233210
11/07/17,123.80,124.05,122.05,122.45,204795
12/07/17,122.65,124.35,122.50,124.20,222072
13/07/17,124.50,124.95,124.15,124.75,190434
14/07/17,125.05,125.30,124.20,125.30,159642
17/07/17,125.55,126.40,125.05,125.35,239275
18/07/17,125.35,126.10,124.70,125.00,286466
19/07/17,125.40,126.85,125.10,126.75,216435
20/07/17,128.80,128.80,124.85,125.40,327828
21/07/17,125.60,125.75,122.35,123.35,233634
24/07/17,124.05,124.40,122.00,123.15,288647
25/07/17,123.20,126.90,123.20,125.65,386091
26/07/17,125.70,130.05,125.55,129.10,428271
27/07/17,128.75,129.40,127.45,129.00,423639
28/07/17,128.10,128.10,126.30,128.00,419179
31/07/17,127.70,129.05,127.10,128.45,339683
01/08/17,128.00,129.35,127.70,129.15,377088
02/08/17,129.00,129.90,128.10,128.50,367151
03/08/17,128.30,129.30,127.90,128.00,366256
04/08/17,128.10,129.00,127.50,128.25,211710
07/08/17,128.25,128.60,127.70,128.15,168354
08/08/17,128.15,128.95,127.35,128.65,145176
